Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
73650 - MERCURY INSURANCE,,1097,6/6/2007,1097,Closed,1 - Closed
,,,,,,2 - Closed
2197 - PAPA MURPHY'S PIZZA,,SC1048,6/6/2007,SC1048,Closed,1 - Closed
110100 - TACO JOHN'S OF IOWA,,SC1049,6/6/2007,SC1049,Closed,1 - Closed
110100 - TACO JOHN'S OF IOWA,,SC1051,6/6/2007,SC1051,Closed,1 - Closed
2165 - PUMP IT UP,,1098,6/7/2007,1098,Closed,1 - Closed
106000 - SUPER WASH,,1099,6/7/2007,1099,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
18600 - CAT SCALE,16987,1100,6/8/2007,1100,Closed,1 - Closed
"109900 - TACO JOHN'S - SR MEX, LLC",,1104,6/8/2007,1104,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
2201 - GREASE MONKEY,,SC1052,6/8/2007,SC1052,Closed,1 - Closed
3641 - DR. BRETT ROHLFSEN,,1105,6/11/2007,1105,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
2202 - MAURICES,,62053,6/11/2007,,Closed,1 - Closed
2203 - CHARLEY'S GRILLED SUBS,,1106,6/12/2007,1106,Closed,1 - Closed
,,,,,,2 - Closed
2204 - GREGG PASDIORA,,1108,6/12/2007,1108,Closed,1 - Closed
1800 - ACME ELECTRIC,e-mail from John Bredemeier,SC1053,6/12/2007,SC1053,Closed,1 - Closed
2207 - FIRST CALL CONSTRUCTION,,SC1054,6/12/2007,SC1054,Closed,1 - Closed
2208 - PIONEER HI-BRED INT'L,,1111,6/13/2007,1111,Closed,1 - Closed
2211 - HOLMES HONDA,,1115,6/13/2007,1115,Closed,1 - Closed
,,,,,,2 - Closed
"77950 - NAGLE SIGNS, INC.",,1209,6/13/2007,1209,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1433,1118,6/14/2007,1118,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1434,1119,6/14/2007,1119,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1435,1120,6/14/2007,1120,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,1121,6/14/2007,,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1436,1122,6/14/2007,1122,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,1131,6/14/2007,1131,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,1132,6/14/2007,1132,Closed,1 - Closed
2214 - TACO JOHN'S,,1145,6/14/2007,1145,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
,,,,,,14 - Closed
,,,,,,15 - Closed
,,,,,,16 - Closed
29050 - COCA-COLA BOTTLING CO.,,SC1055,6/14/2007,SC1055,Closed,1 - Closed
90550 - QSV CORPORATE,,1123,6/15/2007,1123,Closed,1 - Closed
2212 - AAFES FACILITY MANAGEMENT,37220155454,1125,6/18/2007,1125,Closed,1 - Closed
2206 - WOODWARD RESOURCE CENTER,,1126,6/18/2007,1126,Closed,1 - Closed
18600 - CAT SCALE,,1127,6/18/2007,1127,Closed,1 - Closed
,,,,,,2 - Deleted
115150 - TONIC,,1128,6/19/2007,1128,Closed,1 - Closed
