"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"203-0520","1/2"" X 12"" ALUM FLAT - 12'","FALUM","","P","A","","0","FT","21.60000","12.34000"
"204-0100",".040"" ALUM SHEET - 4' X 8'","FALUM","","P","A","","0","SF","2.09000","1.11150"
"204-0101",".040"" ALUM SHEET - 4' X 10'","FALUM","","P","A","","0","SF","2.09000","1.11000"
"204-0102",".040"" ALUM SHEET - 5' X 10'","FALUM","","P","A","","0","SF","2.09000","1.11000"
"204-0110",".050"" ALUM SHEET - 4' X 8'","FALUM","","P","A","","0","SF","1.57000","0.84240"
"204-0111",".050"" ALUM SHEET - 4' X 10'","FALUM","","P","A","","0","SF","1.57000","0.84240"
"204-0112",".050"" ALUM SHEET - 5' X 10'","FALUM","","P","A","","0","SF","1.57000","0.84240"
"204-0120",".063"" ALUM SHEET - 4' x 8'","FALUM","","P","A","","0","SF","3.23000","1.75180"
"204-0121",".063"" ALUM SHEET - 4' X 10'","FALUM","","P","A","","0","SF","3.23000","1.75180"
"204-0122",".063"" ALUM SHEET - 5' X 10'","FALUM","","P","I","","0","SF","3.23000","1.75180"
"204-0130",".080"" ALUM SHEET - 4' X 8'","FALUM","","P","I","20","0","SF","4.00000","2.22300"
"204-0131",".080"" ALUM SHEET - 4' X 10'","FALUM","","P","I","20","0","SF","4.00000","2.22300"
"204-0132",".080"" ALUM SHEET - 5' X 10'","FALUM","","P","I","20","0","SF","4.60250","2.63000"
"204-0133",".080"" ALUM SHEET - 6' X 10'","FALUM","","P","I","20","0","SF","4.00000","2.22300"
"204-0140",".090"" ALUM SHEET - 4' X 8'","FALUM","","P","I","20","0","SF","5.04000","2.88000"
"204-0141",".090"" ALUM SHEET 5052","FALUM","","P","A","","-10","SF","7.78750","4.28000"
"204-0142",".090"" ALUM SHEET 5052 - 5' X 10'","FALUM","","P","I","20","0","SF","5.04000","2.88000"
"204-0143",".090"" ALUMINUM SHEET - 6' X 10'","FALUM","","P","I","20","0","SF","5.04000","2.88000"
"204-0144",".100 5052 aluminum no sheet size","FALUM","","P","A","","34","SF","9.52000","4.86000"
"204-0150",".125"" ALUMINUM SHEET - 4' X 8'","FALUM","","P","I","20","0","SF","6.29000","3.74060"
"204-0151",".125"" ALUM SHEET - 4' X 10'","FALUM","","P","I","20","0","SF","6.29000","3.74060"
"204-0152",".125"" ALUM SHEET 5052 - 5' X 10'","FALUM","","P","I","20","0","SF","6.29000","3.74060"
"204-0153",".125"" ALUM SHEET - 6' X 10'","FALUM","","P","I","20","0","SF","6.29000","3.74060"
"204-0154",".125"" ALUM SHEET 5052 - 4' X 8'","FALUM","","P","I","20","0","SF","6.10750","3.49000"
"204-0155",".125 ALUMINUM 5052","FALUM","","P","A","","33","SF","12.65250","5.67000"
"204-0160",".250"" ALUM SHEET - 4' X 8'","FALUM","","P","I","20","0","SF","10.37000","6.02060"
"204-0161",".250"" ALUM SHEET 5052 - 4' X 10'","FALUM","","P","I","20","0","SF","18.03638","10.30650"
"204-0162",".250"" ALUM SHEET 5052 -no sheet size-sq. ft.","FALUM","","P","A","","252","SF","19.82750","11.33000"
"204-0170",".375"" ALUM PLATE - 4' X 8'","FALUM","","P","A","","0","SF","14.01000","7.61250"
"204-0171",".375"" ALUM PLATE - 4' X 10'","FALUM","","P","A","","0","SF","14.01000","7.61250"
"204-0172",".375"" ALUM PLATE - 4' X 12'","FALUM","","P","A","","0","SF","19.50520","11.14583"
"204-0180",".500"" ALUM SHEET - 4' X 8'","FALUM","","P","A","","0","SF","25.89000","15.62500"
"204-0182",".500"" ALUM SHEET - no sheet size - sqft.","FALUM","","P","A","20","-12","SF","25.89000","15.62500"
"204-0183",".500"" ALUM SHEET - 4' X 12'","FALUM","","P","A","","0","SF","44.67750","25.53000"
"205-0100",".040"" BRUSHED ALUM - 4' X 8'","FALUM","","P","A","","0","SF","4.33000","2.83550"
"205-0101",".040"" BRUSHED ALUM - 4' X 10'","FALUM","","P","A","","0","SF","4.33000","2.83550"
"205-0110",".040"" BLACK/WHITE ALUM VM - 4' X 8'","FALUM","","P","I","20","0","SF","2.35000","1.27031"
"205-0111",".040"" BLACK/WHITE ALUM VM","FALUM","","P","A","","1,726","SF","5.14938","2.94250"
