"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"SC5217","02/11/18","SRVCE","2535","ATLAS SIGN INDUSTRIES","214.25","125.40","88.85","41.47","","HOUSE","","","","","","46","US CELLULAR - ATLAS SIGNS","DES MOINES","IA",
"SC5218","02/06/18","SRVCE","2537","ICON IDENTITY SOLUTIONS","318.75","218.79","99.96","31.36","","HOUSE","","","","","","21","THE HOME DEPOT- ICON IDENTITY","URBANDALE","IA",
"SC5219","02/02/18","SRVCE","4059","TEXAS ROAD HOUSE GRILL","341.90","166.18","175.72","51.40","","HOUSE","","","","","","DEFAULT","TEXAS ROAD HOUSE GRILL","JOHNSTON","IA",
"SC5220","02/08/18","SRVCE","5247","PAGLIAIS PIZZA","381.25","243.05","138.20","36.25","","HOUSE","","","","","","DEFAULT","PAGLIAIS PIZZA","JOHNSTON","IA",
"SC5222","02/10/18","SRVCE","4059","TEXAS ROAD HOUSE GRILL","355.69","209.30","146.39","41.16","","HOUSE","","","","","","DEFAULT","TEXAS ROAD HOUSE GRILL","JOHNSTON","IA",
"SC5223","02/05/18","SRVCE","77950","NAGLE SIGNS  INC.","79.20","47.87","31.33","39.56","2.00","HOUSE","","","","","","175","TOBACCO OUTLET PLUS #507- NAGLE SIGNS","URBANDALE","IA",
"SC5224","02/11/18","SRVCE","77950","NAGLE SIGNS  INC.","165.00","119.07","45.93","27.84","","HOUSE","","","","","","176","KUM & GO - NAGLE SIGNS","URBANDALE","IA",
"SC5227","02/11/18","SRVCE","77950","NAGLE SIGNS  INC.","90.00","62.21","27.79","30.88","","HOUSE","","","","","","114","KUM & GO - NAGLE SIGNS","CLIVE","IA",
"SC5228","02/16/18","SRVCE","3671","TRIANGLE SIGN AND SERVICE","112.50","24.31","88.19","78.39","","HOUSE","","","","","","18","DE WALT #122- TRIANGEL SIGN","DES MOINES","MD",
"SC5229","02/15/18","SRVCE","77950","NAGLE SIGNS  INC.","150.00","103.68","46.32","30.88","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC5230","02/19/18","SRVCE","4059","TEXAS ROAD HOUSE GRILL","133.80","91.55","42.25","31.58","","HOUSE","","","","","","DEFAULT","TEXAS ROAD HOUSE GRILL","JOHNSTON","IA",
