Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
408-0220,GRAY SPRAY PRIMER,PAINT,EA,EA,0,3.83,6.7025,3.83,3.83,0,0,0
408-0230,72G UNDERCOAT PRIMER,PAINT,OZ,GL,0,0.29117,0.50955,0.2912,0.2912,0,0,0
408-0240,M07-70-01 WHITE PRIMER,PAINT,OZ,GL,0,0.2168,0.3794,0.2168,0.2168,0,0,0
408-0250,18416 WHITE PRIMER,PAINT,OZ,GL,0,0.17348,0.30359,0.1735,0.1735,0,0,0
408-0260,18959 WHITE PRIMER,PAINT,OZ,GL,0,0.16711,0.29244,0.1671,0.1671,0,0,0
408-0270,19016 WHITE PRIMER,PAINT,OZ,GL,0,0.17345,0.30354,0.1735,0.1735,0,0,0
408-0280,A21409 WHITE COAT ALL PRIMER,PAINT,OZ,GL,0,0.18177,0.3181,0.1818,0.1818,0,0,0
408-0290,Grip-Gard 483099 GL White Epoxy Sealer,PAINT,OZ,GL,128,0.89438,1.56517,0.8944,0.2152,0,0.8944,0.8944
408-0300,F.D. WHITE PRIMER,PAINT,OZ,GL,0,0.15088,0.26404,0.1509,0.1509,0,0,0
408-0310,IOWA WHITE PRIMER,PAINT,OZ,GL,0,0.12531,0.21929,0.1253,0.1253,0,0,0
408-0320,LU1500 WHITE PRIMER,PAINT,OZ,GL,0,0.26781,0.46867,0.2678,0.2678,0,0,0
409-0100,MINERAL SPIRITS,PAINT,OZ,OZ,0,0.06531,0.11429,0.0653,0.0653,0,0.2647,0.2647
409-0110,LR1280G REDUCER MEDIUM,PAINT,OZ,GL,0,0.12492,0.21861,0.1249,0.1249,0,0,0
409-0120,1380G REDUCER MEDIUM,PAINT,OZ,GL,0,0.11609,0.20316,0.1161,0.1161,0,0,0
409-0130,200T THINNER,PAINT,OZ,GL,0,0.08055,0.14096,0.0806,0.0806,0,0,0
409-0140,Lacquer Thinner,PAINT,OZ,GL,12886,0.0916,0.1603,0.0916,3.9,0,0.0916,0.091
409-0150,3602S THINNER,PAINT,OZ,GL,0,0.1425,0.24938,0.1425,0.1425,0,0,0
409-0160,3608S THINNER,PAINT,OZ,GL,0,0.09414,0.16475,0.0941,0.0941,0,0,0
409-0165,DuPont 3812,PAINT,OZ,GL,309,0.2382,0.63259,0.2382,0.16,0,0.3176,0.306
409-0170,45-211 SLOW REDUCER,PAINT,OZ,GL,0,0.2052,0.3591,0.2052,0.2052,0,0,0
409-0180,45-251 REDUCER,PAINT,OZ,GL,0,0.26828,0.46949,0.2683,0.2683,0,0,0
409-0190,45-290 REDUCER,PAINT,OZ,GL,0,0.21352,0.37366,0.2135,0.2135,0,0,0
409-0200,8034S ACRYLIC ENML REDCR,PAINT,OZ,GL,0,0.09328,0.16324,0.0933,0.0933,0,0,0
409-0210,8093S ACRYLIC ENML REDCR,PAINT,OZ,GL,0,0.17063,0.2986,0.1706,0.1706,0,0,0
409-0220,A-3143 THINNER,PAINT,OZ,GL,0,0.07513,0.13148,0.0751,0.0748,0,0.0751,0.074
409-0230,A-5055 THINNER,PAINT,OZ,GL,1520,0.1082,0.18935,0.1082,0.1061,0,0.119,0.108
409-0240,GE-180 THINNER/SLK SCREEN,PAINT,OZ,GL,0,0.11719,0.20508,0.1172,0.1172,0,0,0
409-0250,NAPHTHA PAINT THINNER,PAINT,OZ,GL,0,0.05234,0.0916,0.0523,0.0523,0,0,0
409-0260,PNT 88G THINNER,PAINT,OZ,GL,0,0.12547,0.21957,0.1255,0.1255,0,0,0
409-0270,T2002 REDUCER,PAINT,OZ,GL,0,0.1375,0.24063,0.1375,0.1375,0,0,0
409-0275,T2003 spray REDUCER,PAINT,OZ,GL,0,0.1719,0.30083,0.1719,0.1719,0,0.1784,0.1719
409-0280,T2004 REDUCER,PAINT,OZ,GL,0,0.16492,0.28861,0.1649,0.1649,0,0,0
409-0290,TOLUENE THINNER,PAINT,OZ,GL,0,0.06938,0.12142,0.0694,0.0694,0,0,0
409-0300,XYLENE THINNER,PAINT,OZ,GL,0,0.063,0.11025,0.063,0.063,0,0,0
409-0310,2 GAL ROUND UN HAZ PACK,PAINT,EA,EA,0,,,0,0,0,0,0
409-0320,4 GAL ROUND UN HAZ PACK,PAINT,EA,EA,0,,,0,0,0,0,0
409-0400,Buildtex Medium texture,PAINT,OZ,QT,0,0.62,1.085,0.62,0.62,0,0.1284,2.5688
409-0450,PROPYLTEX,PAINT,OZ,LB,0,0.62,1.085,0.62,0,0,0.4245,0.62
409-0500,Xim,PAINT,OZ,GL,0,0.52719,0.92258,0.5272,0.09,0,0.7021,0.5272
409-0501,Xim Grey 360,PAINT,OZ,GL,0,0.41195,0.72091,0.412,0,0,0.4219,0
501-0100,1' X 7' X 11 OZ BANNER,BANNER,EA,EA,0,9.3267,16.32,9.3267,9.3267,0,0,0
501-0110,2' X 4' 10 OZ BANNER,BANNER,EA,EA,0,10.99,21.98,10.99,10.99,0,0,0
501-0120,2' X 6' 10 OZ BANNER,BANNER,EA,EA,0,10.99,21.98,10.99,10.99,0,0,0
501-0130,2' X 8' 10 OZ BANNER,BANNER,EA,EA,0,13.99,24.48,13.99,13.99,0,0,0
501-0140,2' X 12' 10 OZ BANNER,BANNER,EA,EA,0,16.29,28.51,16.29,16.29,0,0,0
501-0150,3' X 5' 10 OZ BANNER,BANNER,EA,EA,0,14.1733,24.8,14.1733,14.1733,0,0,0
501-0160,3' X 6' 10 OZ BANNER,BANNER,EA,EA,0,11.99,23.98,11.99,11.99,0,0,0
501-0170,3' X 8' 10 OZ BANNER,BANNER,EA,EA,0,18.56,28.7,18.56,18.56,0,0,0
501-0180,3' X 8' X 10 OZ GREEN BANNER,BANNER,EA,EA,0,26.57,46.5,26.57,26.57,0,0,0
501-0190,3' X 8' X 10 OZ YELLOW BANNER,BANNER,EA,EA,0,24.595,43.04,24.595,24.595,0,0,0
501-0200,3' X 8' X 13 OZ GREEN BANNER,BANNER,EA,EA,0,28.245,49.43,28.245,28.245,0,0,0
501-0210,3' X 8' X 13 OZ YELLOW BANNER,BANNER,EA,EA,0,30.075,52.63,30.075,30.075,0,0,0
501-0220,3' X 10' 10 OZ BANNER,BANNER,EA,EA,0,15.99,31.98,15.99,15.99,0,0,0
501-0230,3' X 12' SUPERBLANK BANNER,BANNER,EA,EA,0,18.99,35.98,18.99,18.99,0,0,0
501-0240,4' X 8' 10 OZ BANNER,BANNER,EA,EA,0,17.99,30.26,17.99,17.99,0,0,0
501-0250,4' X 10' 10 OZ BANNER,BANNER,EA,EA,0,21.99,34.98,21.99,21.99,0,0,0
501-0260,4' X 12' 10 OZ BANNER,BANNER,EA,EA,0,25.49,44.61,25.49,25.49,0,0,0
501-0270,4' X 16' 10 OZ BANNER,BANNER,EA,EA,0,22.5,39.38,22.5,22.5,0,0,0
501-0280,2' X 8' D/F BANNER 13 OZ,BANNER,EA,EA,0,16.64,29.12,16.64,16.64,0,0,0
501-0290,2' X 10' D/F BANNER 13 OZ,BANNER,EA,EA,0,20.8,36.4,20.8,20.8,0,0,0
501-0300,3' X 8' D/F BANNER 13 OZ,BANNER,EA,EA,0,24.96,43.68,24.96,24.96,0,0,0
501-0310,3' X 10' D/F BANNER 13 OZ,BANNER,EA,EA,0,30,52.5,30,30,0,0,0
501-0320,3' X 18' D/F BANNER 13 OZ,BANNER,EA,EA,0,27.5,48.13,27.5,27.5,0,0,0
501-0330,POLE ROPE - TWINE,BANNER,LF,LF,0,0.0265,0.05,0.0265,0.0265,0,0,0
501-0340,"1"" BANNER TAPE/DOUBLE FACED",BANNER,LF,LF,0,0.0971,0.16,0.0971,0.0971,0,0,0
501-0350,"1.5"" BANNER TAPE/DOUBLE FACED",BANNER,LF,LF,0,0.1203,0.21,0.1203,0.1203,0,0,0
501-0360,3' X 8' PW BANNER,BANNER,EA,EA,0,12,21,12,12,0,0,0
501-0370,3' X 10' P/W BANNER,BANNER,EA,EA,0,15,26.25,15,15,0,0,0
501-0380,10 OZ D/S BANNER MAT 37.5,BANNER,SF,SF,0,0.3067,0.54,0.3067,0.3067,0,0,0
501-0390,10 OZ S/S BANNER MAT 37.5,BANNER,SF,SF,0,0.2515,0.44,0.2515,0.2515,0,0,0
501-0400,13 OZ D/S BANNER MAT 37.5,BANNER,SF,SF,0,0.3812,0.76,0.3812,0.3812,0,0,0
501-0410,13 OZ DOUBLE SIDED BANTEX X 54,BANNER,SF,SF,0,0.3936,0.79,0.3936,0.3936,0,0,0
501-0420,74.5 BANTEX DOUBLE SIDED 13 OZ,BANNER,SF,SF,0,0.3146,0.55,0.3146,0.3146,0,0,0
501-0430,DOT PRESS N SNAP FASTENERS,BANNER,EA,EA,0,0.136,0.28,0.136,0.136,0,0,0
501-0440,#1 GROMMET,BANNER,EA,EA,0,0.0313,0.05,0.0313,0.0313,0,0,0
501-0450,#2 GROMMET,BANNER,EA,EA,0,0.12,0.19,0.12,0.12,0,0,0
501-0460,#4 GROMMET,BANNER,EA,EA,0,0.116,0.21,0.116,0.116,0,0,0
501-0470,#274101 GROMMET BX,BANNER,EA,EA,0,0.034,0.06,0.034,0.034,0,0,0
502-0100,1 SHOT UV CLEAR COAT PAINT,VPRINT,OZ,PT,0,0.58,1.16,0.58,0.58,0,0,0
502-0110,AVERY MPI1020 CLEAR VINYL 60,VPRINT,SF,LYD,0,0.8694,1.7388,0.8694,0.8694,0,0,0
502-0120,CLEAR CAST VINYL FOR SUMMA,VPRINT,SF,SF,0,0.8957,1.8,0.8957,0.8957,0,0,0
502-0130,CL SCOTCHCAL FILM 54 3650-114,VPRINT,SF,LYD,0,0.7957,1.55,0.7957,0.7957,0,0,0
502-0140,CLEAR TRANS 7725-114 SCOTCHCL,VPRINT,SF,LYD,0,0.7216,1.52,0.7216,0.7216,0,0,0
502-0150,CLEAR TRANSULCENT 7725-114 24,VPRINT,SF,LYD,0,0.7587,1.47,0.7587,0.7587,0,0,0
502-0160,FARGO 12 X 20 CLEAR CAST,VPRINT,SH,SH,0,2.205,4.04,2.205,2.205,0,0,0
502-0170,FARGO 12 X 20 WHITE CALANDERED,VPRINT,SH,SH,0,1.19,2.08,1.19,1.19,0,0,0
502-0180,FARGO 12 X 20 WHITE CAST,VPRINT,SH,SH,0,2.45,4.28,2.45,2.45,0,0,0
502-0190,FARGO 12 X 26 WHITE CALANDERED,VPRINT,SH,SH,0,1.566,2.85,1.566,1.566,0,0,0
502-0200,FARGO 12 X 26 WHITE CAST,VPRINT,SH,SH,0,1.74,3.48,1.74,0,0,0,0
502-0210,PERF WINDOW GRAPHIC FILM 54,VPRINT,SF,LYD,0,1.7805,3.02,1.7805,1.7805,0,0,0
502-0220,SEMIGLOSS CLEAR COAT LAMINATE,VPRINT,OZ,QT,0,1.2499,2.4998,1.2499,1.2499,0,0,0
502-0230,VEHICLE CLR SHIELD CLEAR COAT,VPRINT,OZ,QT,0,1.4374,2.8748,1.4374,1.4374,0,0,0
502-0240,WHITE CAST VINYL FOR SUMMA,VPRINT,SF,SF,0,0.9568,1.86,0.9568,0.9568,0,0,0
502-0250,WHITE CONTROLTAC + 180-10 54,VPRINT,SF,LYD,0,0.8536,1.7,0.8536,0.8536,0,0,0
502-0260,WHITE TRANS FILM/INKJET 54,VPRINT,SF,LYD,-15,1.4201,2.76,1.4201,1.4201,0,2.1498,1.4202
502-0270,TRANS 3M CAST SOLVENT 54,VPRINT,SF,LYD,0,0.7718,1.54,0.7718,0.7718,0,0,0
503-0100,BLACK TRANS STRIPING 1.25,VGREG,LF,LF,0,0.095,0.2,0.095,0.095,0,0,0
503-0110,BLACK TRENDFILM VINYL 48,VGREG,SF,LYD,0,0.7408,1.48,0.7408,0.7408,0,0,0
503-0120,BLACK TRENDFILM VINYL 24,VGREG,SF,LYD,0,0.7717,1.48,0.7717,0.7717,0,0,0
503-0130,BLACK TRENDFILM VINYL 36,VGREG,SF,LYD,0,0.6313,1.26,0.6313,0.6313,0,0,0
503-0140,BLUE INTENTSE TRENDLM VINYL 36,VGREG,SF,LYD,0,0.86,1.51,0.86,0.86,0,0,0
503-0150,BLUE SAPP TRENDFLM VINYL 48,VGREG,SF,LYD,0,0.8321,1.45,0.8321,0.8321,0,0,0
503-0160,BLUE SAPP TRENDFLM VINYL 30,VGREG,SF,LYD,0,2.2693,1.32,2.2693,2.2693,0,0,0
503-0170,BLUE SAPP TRENDFLM VINYL 36,VGREG,SF,LYD,0,0.7304,1.46,0.7304,0.7304,0,0,0
503-0180,BROWN DARK TRENDFLM 6519 30,VGREG,SF,LYD,0,0.848,0,0.848,0.848,0,0,0
503-0190,BROWN DARK TRENDFLM VINYL 36,VGREG,SF,LYD,0,0.7023,1.4,0.7023,0.7023,0,0,0
503-0200,ETCH LOOK VINYL 15,VGREG,LF,LYD,0,1.45,2.54,1.45,1.45,0,0,0
503-0210,ETCH LOOK VINYL 30,VGREG,SF,LYD,0,2.6,4.55,2.6,2.6,0,0,0
503-0220,ETCHLK 6501 TRENDFLM PRM CST36,VGREG,SF,LYD,0,0.8944,1.79,0.8944,0.8944,0,0,0
