Eagle Sign Company,,,
STATUS AS OF 01/02/25,,,
,,,
Part Number,Inv Type,Part Description,UOM
214-0492,HRDWRE,"1/4"" x 3/4"" THMS Phillips",EA
214-0500,HRDWRE,1/4 X 3 BOLT,EA
214-0570,HRDWRE,5/16 X 1 BOLT,EA
214-0580,HRDWRE,5/16 X 2 BOLT,EA
214-0590,HRDWRE,5/16 X 2-1/2 BOLT - GRADE 8,EA
214-0620,HRDWRE,3/8 X 1 HEX BOLT,EA
214-0630,HRDWRE,3/8 X 1-1/2 HEX BOLT,EA
214-0640,HRDWRE,3/8 X 2 BOLT,EA
214-0650,HRDWRE,3/8 X 2-1/2 BOLT,EA
214-0765,HRDWRE,"1/2"" x 1 1/4"" x 13 HHMS",EA
214-0820,HRDWRE,"1/2"" X 3"" BOLT",EA
214-0830,HRDWRE,1/2 X 3-1/2 BOLT,EA
214-0840,HRDWRE,1/2 X 4 BOLT,EA
214-0860,HRDWRE,1/2 X 5-1/2 BOLT,EA
214-0910,HRDWRE,5/8 X 2 BOLT,EA
214-0911,HRDWRE,"5/8""-11 x 2"" A325 bolt",EA
214-1012,HRDWRE,3/4 X 1 3/4 BOLT,EA
214-1160,HRDWRE,7/8 X 2-1/2 BOLT GRADE 5,EA
214-1240,HRDWRE,1 X 2-1/2 BOLT,EA
214-1250,HRDWRE,1 X 3 BOLT,EA
214-1800,HRDWRE,1/2 X 3 EYE BOLT,EA
214-2270,HRDWRE,1/4 X 2 TOGGLE BOLTS,EA
214-2280,HRDWRE,1/4 X 4 TOGGLE BOLTS,EA
214-2290,HRDWRE,1/4 X 6 TOGGLE BOLT,EA
214-2450,HRDWRE,CABLE TIE,EA
214-2680,HRDWRE,1/4 X 2 LAG SCREW,EA
214-2690,HRDWRE,1/4 X 2-1/2 LAG SCREW,EA
214-2700,HRDWRE,1/4 X 3 LAG SCREW,EA
214-2710,HRDWRE,1/4 X 3-1/2 LAG,EA
214-2830,HRDWRE,3/8 X 1-1/2 LAG SCREW,EA
214-2840,HRDWRE,3/8 X 2 LAG SCREW,EA
214-2850,HRDWRE,3/8 X 2-1/2 LAG SCREW,EA
214-2860,HRDWRE,3/8 X 3 LAG SCREW,EA
214-2870,HRDWRE,3/8 X 3-1/2 LAG SCREW,EA
214-2880,HRDWRE,3/8 X 4 LAG SCREW,EA
214-2890,HRDWRE,3/8 X 4-1/2 LAG SCREW,EA
214-2900,HRDWRE,3/8 X 5 LAG,EA
214-2920,HRDWRE,3/8 X 8 LAG SCREW,EA
214-2960,HRDWRE,1/2 X 3-1/2 LAG SCREW,EA
214-2970,HRDWRE,1/2 X 4 LAG SCREW,EA
214-2980,HRDWRE,1/2 X 5 LAG,EA
214-3000,HRDWRE,1/2 X 8 LAG SCREW,EA
214-3200,HRDWRE,3/16 HEX NUT,EA
214-3205,HRDWRE,3/16 PUSH NUT,EA
214-3210,HRDWRE,3/16 HEX NUT (TINNERMAN),EA
214-3230,HRDWRE,1/4 HEX NUT,EA
214-3235,HRDWRE,"1/4"" X 20 Rivet Nut",EA
214-3240,HRDWRE,"1/4"" SPEED NUT - FLAT(TINNERMAN)",EA
214-3265,HRDWRE,"5/16"" Hex Nut",EA
214-3270,HRDWRE,3/8 HEX NUT,EA
214-3278,HRDWRE,"1/2"" Alum.Nuts",EA
214-3280,HRDWRE,1/2 HEX NUT,EA
214-3310,HRDWRE,5/8 HEX NUT,EA
214-3480,HRDWRE,1-1/8 HEX NUT,EA
214-3540,HRDWRE,#10-24 HEX NUTS,EA
214-3550,HRDWRE,10-24 TINNERMAN NUT,EA
214-3600,HRDWRE,6-32 (3/16) NUT,EA
214-3645,HRDWRE,Bulbex Rivets BF01-0630,EA
214-3649,HRDWRE,4-4 S/S rivet,EA
214-3670,HRDWRE,6-4 S/S rivet,EA
214-3712,HRDWRE,6-6 S/S rivet,EA
214-3715,HRDWRE,4-2 A/A rivet,EA
214-3716,HRDWRE,4-4 A/A rivet,EA
214-3750,HRDWRE,"1/4"" TAPCON SCREW",EA
214-3755,HRDWRE,"3/8"" x 3"" TAPCON SCREW",EA
214-3850,HRDWRE,#8 X 3 GALV DECK SCREW,EA
214-3870,HRDWRE,3 DECK SCREW,EA
214-3880,HRDWRE,3.5 DECK SCREW,EA
214-4100,HRDWRE,"1/4"" x 1"" THMS",EA
214-4180,HRDWRE,"10-24 x 1/2"" THMS",EA
214-4220,HRDWRE,10-24 X 5/8 MACH SCR PAN HEAD,EA
214-4291,HRDWRE,#8 x 1/2 FHSMS,EA
214-4292,HRDWRE,"#8 x 1"" FHSMS",EA
